 ,Time,Time.1,Place,Place.1,Place.2,Place.3,Place.4,Place.5,Place.6,Environment,Environment.1,Environment.2,Environment.3,Environment.4,Environment.5,Aircraft 1,Aircraft 1.1,Aircraft 1.2,Aircraft 1.3,Aircraft 1.4,Aircraft 1.5,Aircraft 1.6,Aircraft 1.7,Aircraft 1.8,Aircraft 1.9,Aircraft 1.10,Aircraft 1.11,Aircraft 1.12,Aircraft 1.13,Aircraft 1.14,Aircraft 1.15,Aircraft 1.16,Aircraft 1.17,Aircraft 1.18,Aircraft 1.19,Aircraft 1.20,Aircraft 1.21,Aircraft 1.22,Aircraft 1.23,Aircraft 1.24,Aircraft 1.25,Aircraft 1.26,Aircraft 1.27,Aircraft 1.28,Aircraft 1.29,Aircraft 1.30,Aircraft 1.31,Aircraft 1.32,Aircraft 1.33,Aircraft 1.34,Component,Component.1,Component.2,Component.3,Aircraft 2,Aircraft 2.1,Aircraft 2.2,Aircraft 2.3,Aircraft 2.4,Aircraft 2.5,Aircraft 2.6,Aircraft 2.7,Aircraft 2.8,Aircraft 2.9,Aircraft 2.10,Aircraft 2.11,Aircraft 2.12,Aircraft 2.13,Aircraft 2.14,Aircraft 2.15,Aircraft 2.16,Aircraft 2.17,Aircraft 2.18,Aircraft 2.19,Aircraft 2.20,Aircraft 2.21,Aircraft 2.22,Aircraft 2.23,Aircraft 2.24,Aircraft 2.25,Aircraft 2.26,Aircraft 2.27,Aircraft 2.28,Aircraft 2.29,Aircraft 2.30,Aircraft 2.31,Aircraft 2.32,Aircraft 2.33,Aircraft 2.34,Person 1,Person 1.1,Person 1.2,Person 1.3,Person 1.4,Person 1.5,Person 1.6,Person 1.7,Person 1.8,Person 1.9,Person 1.10,Person 2,Person 2.1,Person 2.2,Person 2.3,Person 2.4,Person 2.5,Person 2.6,Person 2.7,Person 2.8,Person 2.9,Person 2.10,Events,Events.1,Events.2,Events.3,Events.4,Events.5,Assessments,Assessments.1,Report 1.2
273539,199406,1201-1800,S88,WA,,4,,5000,,VMC,,,Daylight,,,,FBO,Cessna 150,,1,Other Unknown,,Other Other,,Climb; Landing; Landing; Other Emergency,,Class E ZSE,,,,,,,,,,,,,,,,,,,,,,,,Fuel Quantity-Pressure Indication,,X,Malfunctioning,,Personal,Sail Plane,,1,,,Personal,,Climb; Other Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Pilot Flying; Single Pilot,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Engineer,Flight Crew Last 90 Days 17; Flight Crew Total 24500; Flight Crew Type 5,,,,,273539,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Other Unspecified,,,Person Flight Crew,,General Declared Emergency,,Human Factors,SMA SUFFERS FUEL EXHAUSTION; RETURN LAND IN A FORCED LNDG AT DEP ARPT.
274162,199406,0601-1200,BIL,MT,,1,,4500,,VMC,50,,Daylight,25000,,Tower BIL,FBO,Cessna 152,,1,Part 91,VFR,Training,,Initial Approach; Landing; Landing,,Class E BIL,,,,,,,,,,,,,,,,,,,,,,,,Fuel Quantity-Pressure Indication,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 33; Flight Crew Total 216; Flight Crew Type 60,,,,,274162,,,,,,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Person Flight Crew,,General Declared Emergency,,Aircraft,SMA MAKES DEAD STICK LNDG DUE TO FAULTY FUEL GAUGES.
274566,199406,1201-1800,5G9,MI,,0,100,,,VMC,,,Daylight,,,,Personal,Cessna 150,,1,Part 91,,Other Other,,Initial Climb; Takeoff / Launch; Other Emergency,,Class G 5G9,,,,,,,,,,,,,,,,,,,,,,,,Fuel,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 11; Flight Crew Total 310; Flight Crew Type 11,,,,,274566,,,Other Nonprofessional GA,Observer,Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 144; Flight Crew Total 2249; Flight Crew Type 322,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Other Unspecified,,,Person Flight Crew,,General None Reported / Taken,,Aircraft,ENG FAILURE IN C150 FORCES BANNER TOWING ACFT TO LAND ON THE RWY STRAIGHT AHEAD.
276859,199407,0601-1200,APA,CO,,7,,6000,,VMC,,,Daylight,,,,FBO,Cessna 152,,2,Part 91,,Training,,Cruise; Cruise,,Class E APA,,,,,,,,,,,,,,,,,,,,,,,,Reciprocating Engine Assembly,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor; Pilot Flying,Flight Crew Commercial; Flight Crew Flight Engineer; Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 30; Flight Crew Total 7000; Flight Crew Type 150,,,,,276859,,,Other Nonprofessional GA,Trainee,Flight Crew Student,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter CFTT / CFIT; Other Unspecified,,,Person Flight Crew,,General Declared Emergency,,Aircraft,SMA SEL LOSS OF ENG PWR RESULTS IN A FORCED OFF ARPT LNDG WITH NO INJURIES OR ACFT DAMAGE.
277544,199407,1201-1800,LHK,OH,,5,,2500,,VMC,7,,Daylight,,,,FBO,Cessna 150,,1,Part 91,,Other Utility,,Cruise; Cruise,,Class E CVG,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 15; Flight Crew Total 300; Flight Crew Type 30,,,,,277544,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Other Unspecified,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,THE ACFT RAN OUT OF FUEL.
277939,199407,0601-1200,RDD; O54,CA,285,13,,3500,,VMC,30,,Daylight,,,,Personal,Cessna 150,,1,Part 91,,Personal,,Landing; Landing; Cruise; Cruise; Other Emergency,,Class G O54; Class G O85,,,,,,,,,,,,,,,,,,,,,,,,Fuel,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor,Flight Crew Last 90 Days 35; Flight Crew Total 3700; Flight Crew Type 30,,,,,277939,,,Government,FBO Personnel,,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Person Flight Crew,,General Declared Emergency; General None Reported / Taken,Chart Or Publication,Chart Or Publication,OFF ARPT LNDG DUE TO FUEL EXHAUSTION.
282830,199409,1801-2400,BKL; JST; YNG,OH,121,50,,5000,,VMC,20,,Night,,,Center ZOB; FSS AOO,FBO,Cessna 152,,1,Other Unknown,IFR,Personal,,Cruise; Initial Approach; Landing; Landing; Cruise,Airway ZOB,Class D JST; Class D YNG,,,,,,,,,,,,,,,,,,,,,,,,DC Generation,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private; Flight Crew Instrument,Flight Crew Last 90 Days 48; Flight Crew Total 210; Flight Crew Type 190,,,,,282830,,,Government,Enroute,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical,,,Person Other Person,,Flight Crew Overcame Equipment Problem; General Declared Emergency,,Aircraft,ON IFR ROUND ROBIN RPTR LOST ACFT ELECTRICAL AND NAV COM TWICE. ONCE ON THE OUTBOUND LEG AND AFTER GETTING THE ACFT REPAIRED LOST ELECTRICAL AND NAV COM ON THE RETURN. THE HAND-HELD PROVIDED EMER COM.
283951,199409,0601-1200,CDW,NJ,,8,,2500,,VMC,20,,Daylight,,,TRACON N90,FBO,Cessna 152,,2,Part 91,VFR,Training,,Cruise; Cruise,,Class E N90,,,,,,,,,,,,,,,,,,,,,,,,VHF,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 150; Flight Crew Total 600; Flight Crew Type 200,,,,,283951,,,Other Nonprofessional GA,Trainee; Single Pilot; Pilot Flying,Flight Crew Student,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Other Unspecified,,,Person Air Traffic Control; Person Flight Crew,,Flight Crew Became Reoriented,,Human Factors,INADVERTENT MAYDAY BROADCAST TO ATC. TRAINING IN PROGRESS.
284504,199409,0601-1200,2G9,PA,,20,,6500,,VMC,20,,Daylight,,,Center ZOB,FBO,Cessna 150,,1,Part 91,VFR,Training,,Cruise; Cruise; Other Divert; Other Emergency,Vectors,Class E ZOB,,,,,,,,,,,,,,,,,,,,,,,,Carburetor Heat Control,,X,Improperly Operated,,Air Carrier,Any Unknown or Unlisted Aircraft Manufacturer,,2,,IFR,Passenger,,Cruise; Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 40; Flight Crew Total 300; Flight Crew Type 35,,,,,284504,,,Government,Enroute,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,,Air Traffic Control Provided Assistance; General None Reported / Taken; General Declared Emergency,,Human Factors,FORCED LNDG CAUSED BY CARB ICING.
284626,199409,0601-1200,GRI,NE,,,,,,VMC,20,,Daylight,,,TRACON GRI; Tower GRI,Personal,Cessna 150,,1,Part 91,,Passenger,,Cruise; Cruise; Other Divert,,Class E GRI,,,,,,,,,,,,,,,,,,,,,,,,Fuel,,,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Unknown GA,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Private; Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 100; Flight Crew Total 950; Flight Crew Type 400,,,,,284626,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,DIVERT LAND DUE TO LOW FUEL STATE.
285416,199410,0601-1200,OAJ,NC,,,,3000,,VMC,10,,Daylight,,,Center ZDC,Personal,Cessna 150,,1,Part 91,,Ferry / Re-Positioning,,Cruise; Cruise; Other Emergency,Other Arrival,Class G OAJ,,,,,,,,,,,,,,,,,,,,,,,,Fuel,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 152; Flight Crew Total 710; Flight Crew Type 110,,,,,285416,,,,,,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Person Flight Crew,,General Declared Emergency; General None Reported / Taken,,Human Factors,AN SMA RAN OUT OF FUEL.
285559,199410,1801-2400,CRQ,CA,,3,,2800,,VMC,30,,Daylight,,,Tower CRQ,FBO,Cessna 150,,1,Part 91,VFR,Personal,,Cruise; Cruise,,Class D CRQ,,,,,,,,,,,,,,,,,,,,,,,,Reciprocating Engine Assembly,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 120; Flight Crew Total 400; Flight Crew Type 20,,,,,285559,,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter CFTT / CFIT; Other Unspecified,,,Automation Aircraft Other Automation; Person Flight Crew,,General Declared Emergency,,Aircraft,PLT OF SMA RUNS OUT OF FUEL AND FORCED TO LAND ON FREEWAY SHORT OF THE INTENDED ARPT.
285936,199410,1201-1800,BED,MA,,0,100,,,VMC,,,Daylight,,,Tower BED,FBO,Cessna 152,,1,Part 91,,Training,,Landing; Landing,,Class D BED,,,,,,,,,,,,,,,,,,,,,,,,Carburetor Heat Control,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Student,Flight Crew Last 90 Days 20; Flight Crew Total 140; Flight Crew Type 110,,,,,285936,,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical,,,Person Other Person,,Flight Crew Overcame Equipment Problem; General Declared Emergency,,Aircraft,STUDENT PLT EXPERIENCES PARTIAL PWR LOSS ON TKOF. CONFESSES TO TWR HE HAS A PROB; AND WHAT IT IS; AND SUCCESSFULLY COMPLETES THE CIRCUIT AND SAFELY LANDS THE AIRPLANE.
287389,199410,1201-1800,LAX,CA,,13,,1800,,VMC,10,,Daylight,,,TRACON LAX,FBO,Cessna 150,,1,Part 91,,Other Other,,Cruise,,Class B LAX,,,,,,,,,,,,,,,,,,,,,,,,Camshaft,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 230; Flight Crew Total 1700; Flight Crew Type 1000,,,,,287389,,,Other Other,Passenger,Other Other,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Person Other Person,,General Declared Emergency; General None Reported / Taken,,Aircraft,FLT WATCH AT 1800 FT OVER THE CITY EXPERIENCES PARTIAL PWR FAILURE AND HAD TO MAKE AN OFF ARPT FORCED LNDG.
287484,199411,1201-1800,TOI,AL,,2,0,,,VMC,12,,Daylight,,,Tower TOI,Personal,Cessna 150,,1,Part 91,VFR,Personal,,Other Emergency; Other Pattern,,Class D TOI,,,,,,,,,,,,,,,,,,,,,,,,Reciprocating Engine Assembly,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Private,Flight Crew Total 2500,,,,,287484,,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Other / Unknown; Other Unspecified,,,Automation Aircraft Other Automation; Person Flight Crew,,General Declared Emergency; General None Reported / Taken,,Aircraft,TOI TWR DISREGARDED A PLT'S REQUEST TO LAND IN AN EMER CONDITION CAUSING THE PLT TO THINK THAT HE HAD TO LAND OFF ARPT.
288904,199411,1201-1800,AVC,VA,,0,0,,,VMC,,,Daylight,,,,Personal,Cessna 150,,1,Part 91,,Personal,,Landing; Landing,,Class G AVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private; Flight Crew Instrument,Flight Crew Last 90 Days 10; Flight Crew Total 410; Flight Crew Type 200,,,,,288904,,,,,,,,,,,,Aircraft Equipment Problem Critical; Ground Incursion Runway; Other Unspecified,,,Person Flight Crew,,General Declared Emergency,,Aircraft,PLT OF A SMA SEL MADE A PRECAUTIONARY LNDG ON CLOSED ARPT RWY DUE TO PARTIAL LOSS OF ENG PWR.
