 ,Time,Time.1,Place,Place.1,Place.2,Place.3,Place.4,Place.5,Place.6,Environment,Environment.1,Environment.2,Environment.3,Environment.4,Environment.5,Aircraft 1,Aircraft 1.1,Aircraft 1.2,Aircraft 1.3,Aircraft 1.4,Aircraft 1.5,Aircraft 1.6,Aircraft 1.7,Aircraft 1.8,Aircraft 1.9,Aircraft 1.10,Aircraft 1.11,Aircraft 1.12,Aircraft 1.13,Aircraft 1.14,Aircraft 1.15,Aircraft 1.16,Aircraft 1.17,Aircraft 1.18,Aircraft 1.19,Aircraft 1.20,Aircraft 1.21,Aircraft 1.22,Aircraft 1.23,Aircraft 1.24,Aircraft 1.25,Aircraft 1.26,Aircraft 1.27,Aircraft 1.28,Aircraft 1.29,Aircraft 1.30,Aircraft 1.31,Aircraft 1.32,Aircraft 1.33,Aircraft 1.34,Component,Component.1,Component.2,Component.3,Aircraft 2,Aircraft 2.1,Aircraft 2.2,Aircraft 2.3,Aircraft 2.4,Aircraft 2.5,Aircraft 2.6,Aircraft 2.7,Aircraft 2.8,Aircraft 2.9,Aircraft 2.10,Aircraft 2.11,Aircraft 2.12,Aircraft 2.13,Aircraft 2.14,Aircraft 2.15,Aircraft 2.16,Aircraft 2.17,Aircraft 2.18,Aircraft 2.19,Aircraft 2.20,Aircraft 2.21,Aircraft 2.22,Aircraft 2.23,Aircraft 2.24,Aircraft 2.25,Aircraft 2.26,Aircraft 2.27,Aircraft 2.28,Aircraft 2.29,Aircraft 2.30,Aircraft 2.31,Aircraft 2.32,Aircraft 2.33,Aircraft 2.34,Person 1,Person 1.1,Person 1.2,Person 1.3,Person 1.4,Person 1.5,Person 1.6,Person 1.7,Person 1.8,Person 1.9,Person 1.10,Person 2,Person 2.1,Person 2.2,Person 2.3,Person 2.4,Person 2.5,Person 2.6,Person 2.7,Person 2.8,Person 2.9,Person 2.10,Events,Events.1,Events.2,Events.3,Events.4,Events.5,Assessments,Assessments.1,Report 1.2
266945,199403,0601-1200,I14,IN,,1,150,,,VMC,,,Daylight,,,TRACON IND,FBO,Skyhawk 172/Cutlass 172,,1,Part 91,,Training,,Landing; Other Emergency; Other Low Level High Speed,,Class E IND; Class G I14,,,,,,,,,,,,,,,,,,,,,,,,Fuel Storage System,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor; Pilot Flying,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 60; Flight Crew Total 870; Flight Crew Type 200,,,,,266945,,,Other Nonprofessional GA,Trainee; Observer,Flight Crew Student,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach; General Declared Emergency; General None Reported / Taken,Airport,Aircraft,EMER; OFF ARPT FORCED LNDG PERFORMED BY INSTRUCTOR PLT IN A C-172 AFTER EXPERIENCING FUEL STARVATION.
267032,199403,1201-1800,GAI,MD,,,360,,,VMC,,,Daylight,,,,Personal,Cessna 140,,1,Part 91,,Training,,Cruise; Initial Climb,,Class G GAI,,,,,,,,,,,,,,,,,,,,,,,,Powerplant Fuel System,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 200; Flight Crew Total 1150; Flight Crew Type 10,,,,,267032,,,Other Other,Passenger,Other Other,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,,General Declared Emergency,,Aircraft,EMER OFF ARPT FORCED LNDG IN C-140.
267127,199403,0601-1200,LGB,CA,,,,800,,IMC,3,,Daylight,800,,TRACON SNA,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,SVFR,Personal,,Cruise; Initial Approach,Airway SNA; Other Arrival,Class D LGB,,,,,,,,,,,,,,,,,,,,,,,,Flight Director,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 30; Flight Crew Total 600; Flight Crew Type 25,,,,,267127,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT,,,Person Flight Crew,,Air Traffic Control Provided Assistance; General None Reported / Taken,,Aircraft,AN SMA PLT WAS LOW AND OFF COURSE ON AN ILS.
267267,199402,0601-1200,40J,FL,288,13,,4000,,VMC,15,,Daylight,,,,Government,Skyhawk 172/Cutlass 172,,1,Other Other,IFR,Tactical,,Cruise; Cruise,,Class G 40J,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government,Single Pilot; Pilot Flying,Flight Crew Private; Flight Crew Instrument,Flight Crew Last 90 Days 40; Flight Crew Total 430; Flight Crew Type 190,,,,,267267,,,Government,Observer,,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Automation Aircraft Other Automation; Person Flight Crew,,General Declared Emergency,,Aircraft,PLT OF SMA CAP ACFT MADE AN EMER LNDG ON A HWY WHEN THE ENG BEGAN QUITTING DUE TO FUEL STARVATION EXHAUSTION. THE ACFT WAS NOT DAMAGED NOR WERE THERE ANY INJURIES.
267616,199404,1801-2400,DFW; ADS,TX,,12,,1000,,VMC,50,,Night,,,TRACON DFW,FBO,Skyhawk 172/Cutlass 172,,2,Part 91,VFR,Training,,Cruise; Cruise; Cruise,Direct,Class B DFW,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 4; Flight Crew Total 13000; Flight Crew Type 5000,,,,,267616,,,Other Nonprofessional GA,Single Pilot; Trainee; Pilot Flying,Flight Crew Student,,,,,,,Aircraft Equipment Problem Less Severe; Conflict Airborne Conflict; Deviation - Track / Heading All Types; Other Airspace Violation Entry or Exit; Other Unspecified,,,Person Flight Crew,,Flight Crew Exited Penetrated Airspace; Flight Crew Took Evasive Action,,Human Factors,UNAUTH PENETRATION OF AIRSPACE. PROX OF CLASS B AIRSPACE APCH RTE.
269150,199404,1201-1800,MLC,OK,,11,,0,,VMC,12,,Daylight,15000,,Center ZKC,Personal,Cessna 150,,1,Part 91,VFR,Ferry / Re-Positioning,,Cruise; Cruise; Other Emergency; Other Divert,,Class E ZKC,,,,,,,,,,,,,,,,,,,,,,,,Magneto/Distributor,,X,Improperly Operated; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 8; Flight Crew Total 161; Flight Crew Type 161,,,,,269150,,,Government,Enroute,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Other Unspecified,,,Person Flight Crew,,Air Traffic Control Provided Assistance; General Declared Emergency,,Aircraft,C-152 RUNS OUT OF GAS. EMER; OFF ARPT FORCED LNDG. FACILITY MAINT PROC PROB.
269236,199404,1201-1800,19I,OH,,0,0,,,VMC,,,Daylight,,,,Personal,Skylane 182/RG Turbo Skylane/RG,,1,Part 91,,Personal,,Parked; Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Propeller,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 20; Flight Crew Total 702; Flight Crew Type 9,,,,,269236,,,Other Other,Other,Other Other,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Other Unspecified,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,SMA PROP STRUCK RWY EDGE AFTER RAIN SOAKED AND WEAKENED THE EDGE SO THAT IT SANK WHEN CROSSED.
270954,199405,0601-1200,MSO,MT,,4,,1700,,VMC,,,Daylight,,,Tower MSO,Personal,Cessna 140,,1,Part 91,,Personal,,Other Pattern,,Class D MSO,,,,,,,,,,,,,,,,,,,,,,,,Oil Pressure Indication,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Total 450,,,,,270954,,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Other Unspecified,,,Automation Aircraft Other Automation; Person Flight Crew,,,,Aircraft,PVT PLT OF AN SMA SEL RETURNED TO LAND AFTER OBSERVING AN OIL PRESSURE FLUCTUATION AND WAS 'RAMP CHKED' BY AN FAA INSPECTOR WHO NOTICED THAT THE ACFT WAS OUT OF ANNUAL INSPECTION.
270982,199405,1201-1800,SLC; PVU,UT,,10,,6500,,VMC,50,,Daylight,,,TRACON SLC,FBO,Cessna 152,,1,Part 91,VFR,Training,,Cruise; Cruise,,Class B SLC,,,,,,,,,,,,,,,,,,,,,,,,Transponder,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 40; Flight Crew Total 100; Flight Crew Type 50,,,,,270982,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Other Airspace Violation Entry or Exit,,,Automation Air Traffic Control; Person Air Traffic Control,,General None Reported / Taken,,Human Factors,PVT PLT OF AN SMA SEL PENETRATED CLASS B AIRSPACE WHEN HE BELIEVED THAT HE HAD RECEIVED A CLRNC.
272474,199405,1201-1800,D22,NY,,5,0,,,VMC,7,,Daylight,,,,FBO,Cessna 150,,1,Part 91,,Training,,Cruise; Other Low Level High Speed; Other Emergency,,Class G D22,,,,,,,,,,,,,,,,,,,,,,,,Reciprocating Engine Assembly,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Instructor; Pilot Flying,Flight Crew Instrument; Flight Crew Flight Instructor,Flight Crew Last 90 Days 24; Flight Crew Total 430; Flight Crew Type 125,,,,,272474,,,Other Nonprofessional GA,Single Pilot,Flight Crew Student,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Person Flight Crew,,General Declared Emergency,,Human Factors,INSTRUCTOR WITH SPI HAS ACTUAL FORCED LNDG WHILE PRACTICING EMER LNDGS.
272743,199405,1801-2400,F4S,FL,,6,0,,,VMC,10,,Daylight,,,TRACON PBI,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,,Personal,,Landing; Landing; Cruise; Cruise; Other Emergency,,Class G F4S,,,,,,,,,,,,,,,,,,,,,,,,RPM/N1/N2/Etc Indication,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 23; Flight Crew Total 590; Flight Crew Type 150,,,,,272743,,,Other Compensated GA,FBO Personnel,Other Other,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Person Flight Crew,,Air Traffic Control Provided Assistance; General None Reported / Taken; General Declared Emergency,,Aircraft,A COTTER PIN FELL OUT OF THE THROTTLE CABLE AT THE CARB.
272880,199405,1201-1800,MKE,WI,,3,,723,,VMC,15,,Daylight,,,TRACON MKE,Personal,Cessna 120,,1,Part 91,IFR,Personal,,Descent; Descent; Landing; Landing,Vectors; Airway MKE,,,,,,,,,,,,,,,,,,,,,,,,,Fuel,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Private,Flight Crew Total 390; Flight Crew Type 47,,,,,272880,,,Government,Approach,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Other Unspecified,,,Person Flight Crew,,Aircraft Aircraft Damaged; General Declared Emergency,,Human Factors,SMA HAS RAPID FUEL LOSS; ENG FAILURE. LANDS IN WATER.
273539,199406,1201-1800,S88,WA,,4,,5000,,VMC,,,Daylight,,,,FBO,Cessna 150,,1,Other Unknown,,Other Other,,Climb; Landing; Landing; Other Emergency,,Class E ZSE,,,,,,,,,,,,,,,,,,,,,,,,Fuel Quantity-Pressure Indication,,X,Malfunctioning,,Personal,Sail Plane,,1,,,Personal,,Climb; Other Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,Pilot Flying; Single Pilot,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Engineer,Flight Crew Last 90 Days 17; Flight Crew Total 24500; Flight Crew Type 5,,,,,273539,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Other Unspecified,,,Person Flight Crew,,General Declared Emergency,,Human Factors,SMA SUFFERS FUEL EXHAUSTION; RETURN LAND IN A FORCED LNDG AT DEP ARPT.
273965,199406,0601-1200,TMB,FL,,0,0,,,VMC,,,,,,,FBO,Skyhawk 172/Cutlass 172,,1,Part 91,,Test Flight / Demonstration,,Other Other,,Class D TMB; Class E TMB,,,,,,,,,,,,,,,,,,,,,,,,GPS & Other Satellite Navigation,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Compensated GA,FBO Personnel,Other Other,,,,,,273965,,,Other Compensated GA,FBO Personnel,Other Other,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Other Unspecified,,,Person Other Person,,General None Reported / Taken,,,A MAINT CHIEF FOR AN FAR PART 151 SCHOOL RPTS DIFFICULTIES WITH THE MIA FSDO.
