 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
486064,200009,1201-1800,SJC.Airport,CA,,2,,13500,,VMC,,,Daylight,,,TRACON O90.TRACON,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,None,Personal,VOR / VORTAC SJC.VOR,Cruise,Vectors,Class E ZOA.E,,,Y,Y,Scheduled Maintenance,,,3,,,,,,,,,,,,,,,,Oil Filler Cap,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Private; Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 20; Flight Crew Total 600; Flight Crew Type 100,,Troubleshooting,,,486064,Facility O90.TRACON,,Government,Enroute,Air Traffic Control Fully Certified,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Other LOSS OF OIL,,,Person Flight Crew,,Flight Crew Diverted; General Declared Emergency; General Maintenance Action,Aircraft; Human Factors,Human Factors,"THE FLT DEPARTED AT APPROX XA20 FROM SANTA ROSA. 10 MINS AFTER TKOF I REGISTERED A VERY LIGHT BUT STRANGE SMELL IN THE CABIN. AT APPROX XC00; OVER SJC; 13500 FT I SAW OIL COMING FROM THE ENG COMPARTMENT. I DECLARED AN EMER AND LANDED AT SJC. ALL ENG INSTS INDICATED NORMAL AT ALL TIMES. THE ENG STILL HAD 5 QUARTS OF OIL. THE OIL CAP HAD COME LOOSE DURING FLT.",,,,"A CESSNA 210 IN CRUISE AT 13500 FT DECLARED AN EMER AND DIVERTED DUE TO OIL LEAKING FROM THE ENG COWLING CAUSED BY AN UNSECURED OIL FILLER CAP.",
486949,200009,0601-1200,RNO.Airport,NV,,0,0,,,VMC,,,Daylight,,,Tower RNO.Tower,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,None,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 100; Flight Crew Total 569; Flight Crew Type 350,,,,,486949,Facility RNO.Tower,,,Local,Air Traffic Control Fully Certified,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Clearance; Ground Incursion Runway; Other REPLY TO ANOTHER ACFT CLNC,,,Person Air Traffic Control,,General None Reported / Taken,Human Factors,Human Factors,"I WAS CLRED TO TAXI FROM PARKING AT THE FBO AT RENO-TAHOE INTL ARPT TO RWY 16L. I STOPPED AT THE HOLD SHORT LINE AND TOLD THE TWR I WAS READY FOR TKOF. TWR TOLD ME TO HOLD SHORT; WHICH I DID. NEXT; I HEARD TAXI INTO POS AND HOLD. I THOUGHT I HAD HEARD THE TWR USE MY TAIL NUMBER WHEN ISSUING THAT INSTRUCTION. I READ BACK THE INSTRUCTION 'TAXI INTO POS AND HOLD; SMA;' WAITED A FEW SECONDS AS IS MY HABIT; AND HEARING NO RESPONSE FROM THE TWR; I TAXIED INTO POS AND HELD ON THE RWY. AFTER APPROX 30 SECONDS TO 1 MIN ON THE RWY; THE TWR CTLR CAME ON THE RADIO AND ASKED ME WHAT I WAS DOING ON THE RWY. I TOLD HIM THAT I HAD TAXIED INTO POS AND HELD; AND THEN ASKED HIM WHAT HE WANTED ME TO DO. AT THAT POINT HE CLRED ME FOR TKOF. AFTER DISCUSSING THIS MATTER WITH A CTLR LATER BY TELEPHONE; I LEARNED THAT THE INSTRUCTION WAS ISSUED TO ANOTHER PLANE ON THE PARALLEL RWY. COINCIDENTALLY; AT THE TIME THAT I WAS READING BACK MY INSTRUCTION TO THE TWR; THE TWR BEGAN XMITTING TO THE OTHER PLANE. APPARENTLY MY XMISSION WAS STEPPED ON SO THAT THE TWR CTLR COULD NOT RESPOND TO MY READBACK TO TELL ME TO CONTINUE TO HOLD SHORT. THE PROB AROSE BECAUSE THE INSTRUCTIONS TO TAXI INTO POS AND HOLD CAME RIGHT AFTER ANOTHER SMALL GA PLANE IN FRONT OF ME HAD TAKEN OFF. THEREFORE; IT WAS COMMON FOR ME TO GET AN INSTRUCTION TO TAXI AND HOLD AFTER A PLANE HAD TAKEN OFF. PERHAPS MY MINDSET LED ME TO CONFUSE THE CALL SIGN THAT THE CTLR HAD USED. A CONTRIBUTING FACTOR TO THIS INCIDENT WAS THE COINCIDENCE THAT I READ BACK MY INSTRUCTIONS AT EXACTLY THE SAME TIME THAT ANOTHER PERSON WAS XMITTING; THUS STEPPING ON MY XMISSION SO THAT THE TWR CTLR COULD NOT HEAR IT AND CORRECT ME IN TIME. IT IS REQUIRED OF PLTS TO READ BACK INST CLRNCS AND INSTRUCTIONS GIVEN TO THEM BY CTLRS. PERHAPS IT WOULD CUT DOWN RWY INCURSIONS IF THE PLT HAD TO HEAR 'READBACK CORRECT' BEFORE EXECUTING TAXI INSTRUCTIONS. BUT SINCE THAT IS NOT CURRENTLY DONE; I TOOK THE CTLR'S SILENCE TO MEAN THAT I HAD READ BACK THE INSTRUCTION CORRECTLY. MY CORRECTIVE ACTION WILL BE TO LISTEN MORE CAREFULLY TO CALL SIGNS THAT THE CTLR USES TO MAKE CERTAIN THAT AN INSTRUCTION IS DIRECTED TO ME AND NOT TO SOME OTHER PLT.",,,,"PVT PLT OF A C210 INADVERTENTLY TAXIED INTO POS AND HELD IN RESPONSE TO ANOTHER ACFT'S CLRNC. HIS CONFIRMATION OF THE CLRNC TO THE TWR WAS APPARENTLY BLOCKED BY THE OTHER ACFT OR TWR CTLR.",
495072,200012,1801-2400,MSL.Airport,AL,,0,0,,,VMC,,,Night,CLR,,CTAF MSL,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,IFR,Personal,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Flight Instructor; Flight Crew Commercial; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 25; Flight Crew Total 1680; Flight Crew Type 60,,,,,495072,Company,,,Vehicle Driver,,,,,,,,Ground Incursion Runway,,,Person Flight Crew,,General None Reported / Taken,Airport,Airport,"DEPARTED THE LCL FBO AT NIGHT ANNOUNCED INTENTIONS TO TAXI FROM PARKING AREA TO RWY 11 AND ACTIVATED ARPT LIGHTS ON CTAF FREQ. I COMPLETED RUN-UP AND ANNOUNCED ON CTAF THAT I WAS MOVING INTO POS FOR TKOF ON THE RWY. ONCE INTO POS; A PVT VEHICLE DROVE ONTO THE RWY FROM ANOTHER TXWY AND DROVE PAST ME (ON MY IMMEDIATE L) AND DEPARTED THE RWY ON THE TXWY THAT I HAD BEEN ON. THIS HAPPENED WHILE I WAS ON THE RWY. DESPITE THE FACT THAT THE VEHICLE HAD ITS HAZARD LIGHTS ON I NEVER EXPECTED IT TO DRIVE ONTO THE RWY. NO RADIO CALL WAS MADE ON THE CTAF. WITH RWY INCURSIONS ON THE INCREASE; THIS IS ANOTHER EXAMPLE OF UNSAFE OP. THE VEHICLE SHOULD NOT HAVE BEEN OPERATING ON TXWYS OR RWYS WITHOUT A RADIO. GND PERSONNEL NEED TO BE INCLUDED IN THE CURRENT AWARENESS PROGRAM. ARPT ACCESS SHOULD BE MORE SECURE (I BELIEVE THIS WAS A PVT VEHICLE -- NOT PART OF ARPT OPS).",,,,"WHEN THE PLT OF A C210 TAXIED INTO POS AT MSL; AN UNCTLED ARPT; A VEHICLE ENTERED THE RWY AND DROVE PAST HIS ACFT.",
499608,200101,0601-1200,PDK.Airport,GA,,0,0,,,VMC,10,,Daylight,4000,,Tower PDK.Tower,Government,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,None,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Government,Pilot Flying; Single Pilot,Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 50; Flight Crew Total 4000; Flight Crew Type 2000,,,,,499608,Facility PDK.Tower,,Government,Local,,,,,,,,Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR,,,Person Air Traffic Control,,General None Reported / Taken,Chart Or Publication; Airport; Human Factors; Procedure,Airport,"ON JAN/XA/01; AT APPROX XA30 AM I LANDED A C210 ON RWY 2R AT PDK. AT THAT TIME; I WAS ON OFFICIAL UNITED STATES GOV BUSINESS. I TAXIED OFF THE RWY ONTO TXWY D AND STOPPED THE AIRPLANE. I THOUGHT THE TWR CTLR HAD TOLD ME TO SWITCH TO THE GND CTL FREQ; BUT WASN'T SURE SO I CALLED THE TWR AGAIN ADVISING I WAS HOLDING FOR INSTRUCTIONS. THE TWR CTLR TOLD ME TO CROSS RWY 2L AND CONTACT GND. AT THE TIME; I WAS HOLDING ON TXWY D ADJACENT TO THE POINT ON MY IMMEDIATE L WHERE RWYS 2L AND 34 INTERSECT; SO I PROCEEDED TO CROSS THE RWYS TO A HOLDING POINT AT TXWY A WHERE I CONTACTED GND FOR FURTHER TAXI CLRNC. THE GND CTLR CLRED ME TO TAXI TO THE W RAMP OF THE ARPT; BUT ADVISED ME THAT I HAD CROSSED RWY 34 WITHOUT CLRNC TO DO SO. THE GND CTLR FURTHER TOLD ME TO PLEASE BE MORE CAREFUL; ETC. I REMEMBER BEING CONFUSED BECAUSE I THOUGHT I HAD CROSSED AT THE POINT WHERE THE RWYS INTERSECTED AND ASSUMED THE CLRNC WAS GOOD TO CROSS BOTH RWYS. AFTER SHUTDOWN I INITIATED A CALL TO THE TWR (I WAS NOT REQUESTED TO DO SO) AND SPOKE TO THE TWR MGR. HE ADVISED ME THAT THE CTLR HAD WANTED ME TO CONTINUE STRAIGHT AHEAD ON TXWY D TO CROSS RWY 2L AND THEN HOLD SHORT OF RWY 34 AND CONTACT GND. I EXPLAINED WHY I HAD CROSSED WHERE I HAD; AND TOLD HIM I BELIEVED I HAD A VALID CLRNC TO CROSS AT THE RWY INTXN BARRING SOMETHING IN THE WAY OF MORE DEFINITIVE INSTRUCTION TO THE CONTRARY. WE BOTH AGREED THAT THE TXWYS AND RWYS AT PDK OFTEN CONFUSE PLTS AS TO THEIR LOCATION ON THE FIELD WITH RESPECT TO TAXI AND HOLD INSTRUCTIONS. THE TWR MGR ADMITTED THERE IS A HIGHER THAN NORMAL INCIDENCE OF TAXI ERRORS AT PDK. RWY/TXWY MARKINGS AT PDK HAVE RECENTLY BEEN IMPROVED; BUT THE NUMEROUS XING RWYS AND ADJACENT TXWYS STILL CREATE CONFUSION BOTH DAY AND NIGHT.",,,,"A C210 COMMERCIAL PLT CROSSES RWY 34 WITHOUT CLRNC AT PDK; GA.",
500790,200102,1201-1800,OKB.Airport,CA,,,,1160,,VMC,,,Daylight,,,TRACON SCT.TRACON,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,IFR,Passenger,VOR / VORTAC OCN.VORTAC,,Other Instrument Non Precision,Class E ZLA.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 40; Flight Crew Total 400; Flight Crew Type 120,,,,,500790,Aircraft X,,Personal,Passenger,,,,,,,,Airspace Violation All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Air Traffic Control; Person Flight Crew,,Air Traffic Control Issued New Clearance,Human Factors,Human Factors,"FLT ORIGINATED IN ALB 3 HRS PRIOR. CROSSED OCN VORTAC; DSNDED TO 2500 FT WITH 1 LOOP IN HOLD; PARALLEL ENTRY. FAF CROSSED (OCN). BEGAN DSCNT TO MDA. PLT ACQUIRED ARPT VISUALLY. DSCNT TO MDA CONTINUED. PLT DID NOT REACQUIRE VISUAL OF ARPT! MAY HAVE MISTAKEN RWY FOR FREEWAY INITIALLY. PLT ATTEMPTED REACQUISITION; CROSSED 3+ MI DME. PLT WAS INCREDULOUS THAT WAS NOT WHERE HE THOUGHT IT SHOULD BE; WENT MISSED APCH! CALLED APCH; DECLARED MISSED APCH. ATC REQUESTED INTENTIONS. PLT RESPONDED; 'BACK TO VOR AND TRY AGAIN.' ATC STATED TO 'FLY FULL PUBLISHED MISSED APCH TO OCEAN VISTA.' PLT SET UP TO NAV TO OCEAN VISTA. WE WERE THEN ON MISSED APCH COURSE TO OCEAN VISTA. ATC CALLED BACK WITH CLRNC DIRECT OCN VOR AND VOR APCH. PLT (STILL WAY BEHIND IN COCKPIT) SET UP FOR IAP AS PUBLISHED. SECOND APCH: CROSSED OCN PROC TURN OUTBOUND; RPTED AS REQUESTED BY ATC. (I THINK) CROSSED FAF AND AGAIN BEGAN NON PRECISION APCH DSCNT. DID NOT ACQUIRE ARPT. WHILE IN DSCNT; PAX IDENTED ARPT AT 10 O'CLOCK. PLT ATTEMPTED TO ACQUIRE ARPT AT 12 O'CLOCK POS; AGAIN INCREDULOUS THAT IT WAS NOT OUT THERE. PLT WENT VISUAL APCH AND TURNED 40 DEGS L. PLT WAS AWARE OF DEP FROM PUBLISHED APCH. BELIEVED THAT SOMETHING WAS WRONG. IMPROPER SET-UP OF INSTS; WRONG APCH PLATE; INST MALFUNCTION. PLT WENT VISUAL; LOOKED FOR ACFT AND TERRAIN. VISIBILITY GOOD; PLT FELT HE MUST GO VISUAL TO DEAL WITH THIS SIT. DID NOT SEE MAJOR SAFETY OF FLT ISSUE; BUT COULDN'T CONTINUE TO FLY THE IAP IF THERE WAS A PROB. APCHED THE ARPT THAT WAS ACQUIRED AT 10 O'CLOCK POS. WHEN IN VISUAL RANGE; PLT IDENTED THAT IT WAS NOT THE SAME ARPT THAT WAS OVERFLOWN DURING THE MISSED APCH. PLT TURNED E; THEN S. WENT BACK TO APCH FREQ. APCH WAS ALREADY CALLING. REQUESTED VECTOR TO ARPT; GOT AN APPROPRIATE ADMONISHMENT FROM CTLR REGARDING INCURSION INTO RESTR AREA. RECEIVED VECTORS TO OCN. CONCLUSION: THIS WAS A SCREW-UP WHERE NO ONE GOT HURT. THIS IS THE STUFF THAT ACCIDENTS ARE MADE OF.",,,,"C210 PLT; FLYING A VOR APCH; BECAME DISORIENTED; ENTERED RESTR AREA.",
500988,200102,1801-2400,PHX.Airport,AZ,,3,,3000,,VMC,,,Night,,,TRACON P50.TRACON; Tower PHX.Tower,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,IFR,Passenger,,Takeoff / Launch; Climb; Initial Climb,Vectors; Airway V16.Airway,Class B PHX.B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 45; Flight Crew Total 1510; Flight Crew Type 145,,,,,500988,Facility PHX.Tower,,Government,Local,Air Traffic Control Fully Certified,,,,,,,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance,,,Automation Air Traffic Control; Person Air Traffic Control,,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Returned To Clearance,Airport; Airspace Structure; Human Factors,Human Factors,"WAS GIVEN AN IFR CLRNC TO LGB WHICH STATED 'FLY RWY HDG; VECTORS FOR VICTOR 16; THERMAL; THEN AS FILED.' IMMEDIATELY AFTER TKOF; TWR INSTRUCTED 'TURN L HDG XXX.' A FEW SECONDS LATER; TWR SAID 'TURN L HDG YYY; VECTORS FOR VICTOR 16' (I BELIEVE IT WAS VICTOR 16; DUE W; I DON'T HAVE MY CHARTS WITH ME AT THE MOMENT); 'CONTACT DEP ON XXX.XX.' WHILE CHANGING TO DEP FREQ; I NOTICED I WAS INTERCEPTING VICTOR 16. I RADIOED 'DEP CTL; CENTURION X IS WITH YOU AT 3000 FT; TURNING ONTO V16.' THE DEP CTLR BLEW UP AT ME: 'YOU WERE SUPPOSED TO FLY A HDG (I THINK IT WAS 190 OR 210 DEGS).' I REPLIED 'I WAS GIVEN VECTORS FOR VICTOR 16 AND I WAS NOW INTERCEPTING BUT WOULD BE GLAD TO CONTINUE ON THE PREVIOUSLY ASSIGNED HDG.' HE THEN CHKED BACK WITH THE TWR WHO ASSIGNED THE CLRNC AND CALLED ME BACK TO SAY 'YOU WERE INSTRUCTED TO FLY HDG 210 DEGS VECTORS FOR V16; NOT VECTORS TO INTERCEPT V16.' THE FAA WILL PROBABLY SAY I WAS WRONG. BUT HERE'S MY POINT: WHY WOULD ANY CTLR CHOOSE TO GIVE AMBIGUOUS OR EASILY MISUNDERSTOOD INSTRUCTIONS? IF MY CLRNC HAD BEEN 'TURN L HDG 210 DEGS' THAT IS CLR; UNAMBIGUOUS; EASILY UNDERSTOOD; AND DOESN'T CREATE ANY IMPROPER EXPECTATIONS. IT ALSO SETS UP THE EXPECTATION OF ANOTHER VECTOR. WHEREAS; 'TURN L TO 210 DEGS VECTORS FOR V16' SOUNDS TOO MUCH LIKE 'VECTOR TO INTERCEPT V16.' I DON'T NEED TO KNOW THE EVENTUAL DEST OF THE VECTOR. I NEED TO KNOW WHAT COMES NEXT; AND I THOUGHT THAT'S WHAT HE WAS TELLING ME.",,,,"P50 CTLR CHALLENGES C210 PLT WHEN PLT TURNS ON COURSE ON V16.",
503460,200103,0601-1200,BRK.VORTAC,CO,160,2,,10500,,VMC,10,,Daylight,,,TRACON COS.TRACON,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,VFR,Personal,,Cruise,Other PLT NAV,Class E COS.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON COS.TRACON,Air Carrier,MD-80 Series (DC-9-80) Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,,Vectors,Class C COS.C; Class E COS.E,,,,,,,,,,,,,,,,,,,,,,,,Facility COS.TRACON,,Government,Departure,Flight Crew Private,Air Traffic Control Radar 7; Air Traffic Control Time Certified In Pos 1 (yrs) 6; Flight Crew Total 120,,,,,503460,Aircraft X,,,Trainee; Pilot Flying,Flight Crew Private,,,,,,,Conflict Airborne Conflict,Horizontal 12000; Vertical 200,,Automation Aircraft RA; Person Flight Crew; Person Air Traffic Control,,Air Traffic Control Issued Advisory / Alert; Flight Crew Took Evasive Action,Human Factors,Human Factors,"C210 HAD MD80 IN SIGHT. MD80 WAS 2 MI AND 200 FT FROM C210. RECEIVED AN RA AND CLBED. MD80 WAS ALREADY CLBING TO 16000 FT AND WAS ABOVE THE CESSNA.",,,,"MD80 INITIATES TCASII CLB MANEUVER WHILE UNDER COS CTL.",
507472,200104,0601-1200,DAB.Airport,FL,,0,0,,,VMC,,,Daylight,,,,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 91,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial,Flight Crew Last 90 Days 83.6; Flight Crew Total 3228; Flight Crew Type 2300,,,,,507472,Facility DAB.Tower,,Government,Ground,Air Traffic Control Fully Certified,,,,,,,Deviation / Discrepancy - Procedural Clearance; Ground Incursion Runway,,,Person Flight Crew,,General None Reported / Taken,Human Factors; Airport; Chart Or Publication,Human Factors,"MISTAKENLY TAXIED A FEW FEET PAST HOLD SHORT LINE WHILE TRYING TO FIND UNDOCUMENTED TXWY (NOT ON ARPT DIAGRAM). IT WOULD BE HELPFUL IF ARPT DIAGRAM UPDATED TO SHOW EXIT OFF RWY 7L TO SOUTH. AS IS OFTEN THE CASE; DISTRACTION WAS A SIGNIFICANT FACTOR. TO PREVENT RECURRENCE; MUST REMAIN MORE ALERT ESPECIALLY IF NON-GRAPHED TXWYS INTERSECT RWYS. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: THE RPTR WAS USING THE GOVERNMENT CHART. HE SAID THAT HE WAS APPROACHING THE RWY 25R FROM THE SOUTH ON A TXWY THAT INTERSECTS THE RWY AT ABOUT THE SAME POINT AS TXWY 5N DOES ON THE NORTH SIDE OF THE RWY. HE ALLEGES THAT THE TXWY IS NOT ON THE NOAA CHART (IT ALSO IS NOT ON THE COMMERCIAL CHART) WHICH CAUSED DISTRACTION WHILE HE TRIED TO DETERMINE WHERE HE WAS. HE REPORTS THAT THERE IS A HOLD SHORT MARKING BUT HE MISSED SEEING IT.",,,,"THE HOLD SHORT LINE WAS CROSSED AT DAB; FL ARPT WHILE THE PLT WAS LOOKING AT HIS ARPT DIAGRAM FINDING THE TXWY HE WAS ON WAS NOT DOCUMENTED.",
508537,200103,1201-1800,DSM.Airport,IA,,0,0,,,VMC,3,,Daylight,2500,5000,Tower DSM.Tower,Air Taxi,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1,Part 135,IFR,Cargo / Freight / Delivery,,Takeoff / Launch; Initial Climb,,Class C DSM.C,,,Y,N,,,,,,,,,,,,,,,,,,,,ILS/VOR,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Taxi,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 278; Flight Crew Total 2000; Flight Crew Type 800,,Time Pressure,,,508537,Facility DSM.Tower,,Government,Local,,,,,,,,Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Other ENGINE PROBLEM OPEN LOG ITEMS,,,Person Flight Crew; Person Air Traffic Control,,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Provided Assistance; Air Traffic Control Issued New Clearance; Flight Crew Landed in Emergency Condition; Flight Crew Diverted; General Declared Emergency; General None Reported / Taken; General Maintenance Action,Human Factors; Logbook Entry; Aircraft; Company Policy,Company Policy,"ON MAR/XA/01; I MADE AN EMER LNDG AT DES MOINES INTL ARPT AFTER BEING INFORMED BY THE CTL TWR SHORTLY AFTER DEP THAT MY ENG WAS SMOKING. I LANDED SAFELY BACK ON RWY 23. AN FAA ACFT SAFETY INSPECTOR INSPECTED MY ACFT AND DETERMINED THAT THE REASON FOR THE ENG FAILURE WAS THE DROP OF 500 RPM IN ONE OF THE MAGNETOS. DURING HIS INSPECTION; HE ALSO FOUND AN OPEN DISCREPANCY THAT HAD BEEN WRITTEN UP IN MAR/01 WHICH SAID 'GS ON NAV #1 INOP.' THERE WAS NO SIGNATURE ON THE DISCREPANCY AND BY THE TIME OF THIS INSPECTION; 4 OTHER PLTS HAD FLOWN THE AIRPLANE WITH THE OPEN DISCREPANCY BEFORE ME. BECAUSE THERE WAS NO SIGNATURE OR INITIALS ON THE DISCREPANCY; WE STILL DO NOT KNOW WHO WROTE IT. IT MAY OR MAY NOT HAVE BEEN A PLT; AND NO ONE HAD NOTIFIED COMPANY MAINT OR DISPATCH AS IS REQUIRED. ALSO; THE DISCREPANCY WAS WRITTEN IN THE MIDDLE OF THE LOGBOOK (BTWN PAGES) WHERE IT WAS DIFFICULT TO FIND. THIS MAY EXPLAIN WHY IT HAD NOT BEEN NOTICED BY THE OTHER 4 PLTS OR MYSELF UNTIL THE FAA INSPECTOR FOUND IT. UPON DOING MY PREFLT EARLY THAT MORNING. I HAD NOT SEEN ANY DISCREPANCY; AND DURING FLT THE GS WAS WORKING. IN THIS PARTICULAR AIRPLANE THERE ARE 2 GS'S. THEREFORE; EVEN IF 1 WERE INOPERABLE; THERE WOULD STILL BE 1 FUNCTIONING. HOWEVER; SINCE OUR COMPANY DOES NOT HAVE AN MEL; EVERYTHING IN THE AIRPLANE MUST WORK. THIS IS WHY THE FAA WANTS TO ISSUE A VIOLATION. AT THIS TIME; THE INVESTIGATION IS STILL UNDERWAY.",,,,"C210 PLT HAD ENG PROBS DEPARTING DSM. THIS WAS CAUSED BY AN OPEN LOG ITEM.",
510570,200105,1801-2400,TRK.Airport,CA,,,0,,,VMC,,,Night,,,,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,,,VFR,Personal,,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 16; Flight Crew Total 275; Flight Crew Type 22,,,,,510570,,,,,,,,,,,,Ground Event / Encounter Loss Of Aircraft Control; Ground Excursion Runway,,,,,General None Reported / Taken,Human Factors,Human Factors,"PLANE VEERED L OFF RWY 28 ON LNDG ROLLOUT.",,,,"A C210 PLT FLIES A NORMAL APCH TO LAND ON THE CTRLINE; BUT VEERS TO THE L AND OFF THE RWY DURING ROLLOUT.",
